"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"diffexpressed"
"IP6K3"	145.721349058105	2.49708196877752	0.622303514826935	4.01264320268538	6.00426320121644e-05	0.0238041006436298	"UP"
"IPO13"	2052.47451735885	0.967305480043928	0.285899608394425	3.38337462396745	0.00071600891062252	0.0461104812050263	"UP"
"ITGA2"	321.636334333215	2.21473652994003	0.593742750553763	3.73012812008977	0.00019138242732457	0.0327292730037395	"UP"
"JAM3"	1623.32560660706	1.69449844456716	0.444462876117758	3.81246339259662	0.000137588612392616	0.0296695317714326	"UP"
"JPT2"	282.068932274277	1.86425535568283	0.462640501942419	4.02959824713933	5.58722607125791e-05	0.0226931173197788	"UP"
"JUP"	460.494512636879	0.980755774832398	0.289195743407718	3.39132161239904	0.000695564267574283	0.0454615208792444	"UP"
"KCNJ14"	42.1579356479699	-0.88782171278285	0.261119583649759	-3.40005793657242	0.000673715764305563	0.0444164204612465	"DOWN"
"KCNJ2"	528.598537384793	1.60759616105184	0.452369899870178	3.55372044318863	0.000379822726359684	0.0387402148477623	"UP"
"KCNMB4"	1605.31057121898	1.21933225908427	0.341937831670505	3.56594721656666	0.000362544341858567	0.0385460590427125	"UP"
"KIAA1324L"	928.882340596179	1.4351902829127	0.396535251029525	3.61932584602886	0.000295371517569482	0.0368875018314643	"UP"
"KIF19"	866.347053158581	2.50203751626477	0.598253595881635	4.18223564971233	2.8865655188516e-05	0.0181430550295076	"UP"
"KLHL32"	780.668047310038	1.37914290609574	0.373619151492776	3.69130677746429	0.000223104849994776	0.0342872960346701	"UP"
"KLHL4"	319.967308456077	1.21414976305795	0.345140110025075	3.5178460219235	0.000435064729294744	0.0406901929139087	"UP"
"KLK6"	559.108129256318	2.38491776675975	0.620124850247196	3.84586711177446	0.00012012685865386	0.0288787426649974	"UP"
"LAMP1"	2201.05960058802	0.914959518104966	0.26495898533217	3.45321188846611	0.000553953694906217	0.0430210709652246	"UP"
"LAMP2"	3128.98466720158	1.7238070169523	0.491716873717073	3.50569018289203	0.000455425004895141	0.0406901929139087	"UP"
"LAMTOR5"	216.406629208705	0.459264704475045	0.134079056298579	3.42532769213645	0.000614058298911166	0.0439013253087316	"UP"
"LARP6"	1283.44891309151	1.11781665725404	0.304122938621465	3.67554207624356	0.000237344917529072	0.0352837264653512	"UP"
"LGI3"	2750.44562498672	1.02914711864676	0.298980002875449	3.44219382148941	0.000577016655253922	0.0430210709652246	"UP"
"LGR5"	219.37530888881	2.569445595336	0.616885436641218	4.16519088102642	3.11092172411869e-05	0.0181430550295076	"UP"
"LIPE"	831.404031318811	2.29639695297518	0.507987055261	4.52058163528461	6.16699574811285e-06	0.00932334173568624	"UP"
"LRATD2"	322.741770263996	1.2279862169884	0.356024489068289	3.44916221971702	0.000562328773216384	0.0430210709652246	"UP"
"LRP2"	2175.9303893839	2.58381868239813	0.751937014672695	3.43621690644238	0.00058989848578267	0.0434214921007341	"UP"
"LRRC8D"	556.553302667889	1.32514106052353	0.349688814861474	3.78948654977275	0.000150958984426279	0.0296695317714326	"UP"
"MAG"	6095.44218619942	2.44423134240644	0.623017098624527	3.92321711202263	8.73743454848846e-05	0.0282229265553034	"UP"
"MAL"	1191.36746288882	2.12359860109259	0.506843999664615	4.18984658494093	2.79143118506452e-05	0.0181430550295076	"UP"
"MAP6D1"	117.204124758754	1.48166022874311	0.398336410877311	3.71962037183556	0.000199522442103417	0.0329100760508668	"UP"
